id,age,job,marital,education,preferred_contact,balance,loan_house,loan_personal,n_marketing_contacts,marketing_potential,call_length,investment,period
679,55,retired,married,secondary,cellular,991,no,no,0,unknown,593,0,0
680,40,blue-collar,married,NA,cellular,928,yes,no,0,unknown,53,0,0
681,51,services,married,secondary,cellular,2904,yes,no,0,unknown,410,0,0
682,36,management,married,secondary,cellular,644,yes,no,0,unknown,54,0,0
683,30,blue-collar,married,secondary,cellular,7,yes,no,0,unknown,197,0,0
684,53,blue-collar,married,primary,cellular,1388,no,no,0,unknown,139,0,0
685,33,technician,divorced,tertiary,NA,839,yes,no,0,unknown,469,0,0
686,33,housemaid,married,tertiary,cellular,0,no,no,0,unknown,466,0,0
687,32,admin.,married,secondary,cellular,57,no,yes,0,unknown,50,0,0
688,42,admin.,married,NA,cellular,756,no,no,3,low,72,0,0
689,53,technician,married,tertiary,cellular,856,yes,no,0,unknown,102,0,0
690,35,technician,single,secondary,cellular,-476,yes,no,4,low,57,0,0
691,42,blue-collar,single,primary,NA,4930,no,no,0,unknown,973,867.14,0
692,34,technician,single,tertiary,cellular,-552,yes,no,0,unknown,312,0,0
693,27,technician,single,secondary,cellular,15,yes,no,0,unknown,67,0,0
694,52,retired,married,primary,NA,9,no,no,0,unknown,243,0,0
695,45,unemployed,divorced,primary,cellular,11,no,no,0,unknown,489,32.37,0
696,36,self-employed,married,tertiary,cellular,687,yes,no,0,unknown,568,0,0
697,36,technician,married,tertiary,NA,301,yes,no,0,unknown,1581,0,0
698,39,technician,married,secondary,NA,287,yes,no,0,unknown,63,0,0
699,53,management,married,tertiary,cellular,1356,yes,no,6,low,429,0,0
700,33,management,single,tertiary,cellular,-149,yes,no,3,low,111,0,0
701,37,services,married,secondary,NA,358,yes,no,0,unknown,390,0,0
702,31,management,married,tertiary,cellular,1164,yes,yes,3,low,141,0,0
703,33,management,married,tertiary,cellular,4,yes,yes,0,unknown,604,0,0
704,33,management,single,tertiary,cellular,87,no,no,0,unknown,978,282.76,0
705,46,blue-collar,married,primary,cellular,0,no,no,0,unknown,92,0,0
706,45,admin.,married,secondary,cellular,369,yes,no,0,unknown,20,0,0
707,34,technician,married,tertiary,cellular,11752,yes,no,0,unknown,149,0,0
708,50,blue-collar,married,secondary,cellular,19,no,no,0,unknown,209,0,0
709,55,retired,married,secondary,telephone,4194,no,yes,0,unknown,208,0,0
710,42,blue-collar,married,secondary,NA,54,yes,no,0,unknown,268,0,0
711,35,management,married,tertiary,cellular,323,no,no,0,unknown,261,314.6,0
712,55,management,married,tertiary,NA,0,yes,no,0,unknown,159,0,0
713,36,management,single,tertiary,NA,-559,yes,no,0,unknown,71,0,0
714,33,technician,married,secondary,cellular,0,yes,no,2,low,176,0,0
715,27,technician,single,tertiary,cellular,261,yes,yes,0,unknown,195,0,0
716,35,technician,single,secondary,NA,103,yes,no,0,unknown,290,0,0
717,61,retired,married,primary,cellular,1720,no,no,5,low,150,0,0
718,56,management,single,tertiary,NA,4542,no,no,0,unknown,148,0,0
719,36,blue-collar,married,secondary,NA,71,yes,no,0,unknown,510,0,0
720,51,admin.,single,secondary,NA,-2,no,no,0,unknown,402,0,0
721,45,blue-collar,married,secondary,cellular,640,yes,no,0,unknown,447,359.84,0
722,31,entrepreneur,single,secondary,telephone,0,no,no,0,unknown,160,264.16,0
723,45,blue-collar,married,primary,cellular,675,yes,no,0,unknown,890,0,0
724,37,blue-collar,married,secondary,NA,115,yes,yes,0,unknown,91,0,0
725,29,management,married,tertiary,NA,16232,no,no,0,unknown,39,0,0
726,40,blue-collar,married,secondary,cellular,1844,yes,no,0,unknown,231,0,0
727,30,admin.,single,secondary,cellular,81,yes,no,3,unknown,121,0,0
728,39,technician,single,secondary,cellular,614,yes,no,1,low,166,0,0
729,46,technician,married,secondary,NA,2527,yes,yes,0,unknown,201,0,0
730,35,self-employed,married,secondary,cellular,734,no,yes,0,unknown,128,0,0
731,35,management,single,tertiary,cellular,252,yes,no,0,unknown,89,0,0
732,44,unemployed,married,tertiary,cellular,178,no,no,0,unknown,126,0,0
733,30,services,single,secondary,NA,268,no,no,0,unknown,86,0,0
734,36,management,married,tertiary,cellular,4,no,yes,0,unknown,261,0,0
735,29,blue-collar,single,secondary,cellular,180,no,no,0,unknown,350,0,0
736,35,blue-collar,single,secondary,NA,907,yes,yes,0,unknown,242,0,0
737,30,technician,married,tertiary,cellular,8351,no,no,0,unknown,345,0,0
738,49,technician,married,secondary,NA,-353,yes,yes,0,unknown,123,0,0
739,42,technician,single,tertiary,cellular,-380,yes,no,1,unknown,413,0,0
740,36,blue-collar,married,secondary,NA,1704,no,no,0,unknown,179,0,0
741,31,technician,married,tertiary,cellular,19,yes,no,0,unknown,243,0,0
742,29,admin.,single,secondary,cellular,260,yes,no,2,low,453,0,0
743,52,management,married,tertiary,NA,1177,yes,no,0,unknown,473,0,0
744,43,blue-collar,married,primary,NA,-454,yes,no,0,unknown,322,0,0
745,37,services,married,secondary,cellular,52,yes,no,9,high,908,307.58,0
746,35,self-employed,married,tertiary,cellular,137,no,no,0,unknown,142,0,0
747,53,retired,married,tertiary,cellular,1778,no,no,0,unknown,186,0,0
748,36,management,married,tertiary,cellular,3537,yes,no,0,unknown,115,0,0
749,52,unemployed,married,NA,NA,83,yes,no,0,unknown,26,0,0
750,27,admin.,married,secondary,NA,1475,yes,no,0,unknown,472,0,0
751,33,technician,married,secondary,cellular,399,yes,no,0,unknown,143,0,0
752,54,management,married,tertiary,cellular,8295,no,no,0,unknown,207,1915.42,0
753,47,management,single,tertiary,cellular,0,no,no,0,unknown,138,0,0
754,53,blue-collar,married,NA,telephone,2509,no,no,0,unknown,231,597.27,0
755,35,services,divorced,secondary,cellular,828,yes,no,0,unknown,87,0,0
756,32,blue-collar,married,secondary,NA,298,yes,no,0,unknown,142,0,0
757,34,technician,married,tertiary,cellular,2656,yes,no,0,unknown,302,0,0
758,35,technician,single,tertiary,cellular,147,no,no,0,unknown,134,0,0
759,33,management,single,tertiary,cellular,275,no,no,0,unknown,348,0,0
760,38,management,divorced,tertiary,cellular,441,yes,no,0,unknown,67,0,0
761,51,blue-collar,married,primary,cellular,0,no,no,0,unknown,234,0,0
762,53,entrepreneur,married,tertiary,NA,420,yes,no,0,unknown,100,0,0
763,55,self-employed,married,tertiary,cellular,0,no,no,0,unknown,252,0,0
764,40,management,single,tertiary,NA,1393,yes,no,0,unknown,20,0,0
765,37,entrepreneur,married,tertiary,cellular,310,no,no,0,unknown,76,0,0
766,38,services,divorced,secondary,cellular,710,yes,no,0,unknown,1880,0,0
767,55,management,divorced,tertiary,cellular,-207,no,no,0,unknown,211,0,0
768,25,technician,married,secondary,cellular,-559,yes,no,0,unknown,189,0,0
769,52,blue-collar,married,primary,NA,1007,yes,no,0,unknown,248,0,0
770,32,technician,married,secondary,cellular,0,no,no,0,unknown,254,0,0
771,59,management,married,tertiary,cellular,518,no,no,0,unknown,230,0,0
772,30,services,single,secondary,cellular,1824,yes,no,0,unknown,153,0,0
773,39,technician,single,secondary,cellular,3,yes,yes,0,unknown,102,0,0
774,58,retired,divorced,tertiary,cellular,5253,no,no,3,low,162,0,0
775,42,unemployed,married,secondary,NA,1990,yes,yes,0,unknown,13,0,0
776,41,blue-collar,single,primary,cellular,3237,no,no,4,unknown,240,0,0
777,30,management,single,tertiary,cellular,1571,no,no,0,unknown,996,0,0
778,48,self-employed,married,primary,NA,1204,yes,no,0,unknown,53,0,0
779,64,management,married,tertiary,telephone,679,no,no,0,unknown,135,0,0
780,44,blue-collar,married,primary,NA,3753,yes,no,0,unknown,122,0,0
781,29,student,single,secondary,cellular,3872,yes,no,0,unknown,453,0,0
782,36,management,single,secondary,cellular,1898,yes,no,0,unknown,243,0,0
783,33,services,married,secondary,NA,248,yes,no,0,unknown,132,0,0
784,52,blue-collar,married,secondary,NA,161,yes,no,0,unknown,274,0,0
785,58,blue-collar,married,secondary,cellular,1626,no,no,0,unknown,391,0,0
786,57,retired,divorced,secondary,cellular,24,no,yes,0,unknown,407,0,0
787,43,management,married,tertiary,cellular,2383,no,no,0,unknown,379,749.55,0
788,69,retired,married,secondary,cellular,2473,no,no,0,unknown,967,175.99,0
789,51,housemaid,divorced,secondary,cellular,9228,no,no,0,unknown,655,1366.22,0
790,31,blue-collar,married,secondary,cellular,1131,yes,yes,6,low,126,0,0
791,38,technician,single,tertiary,cellular,221,no,no,0,unknown,79,0,0
792,46,management,married,tertiary,cellular,-591,no,no,0,unknown,126,0,0
793,31,services,married,secondary,cellular,14387,yes,no,0,unknown,128,0,0
794,44,services,single,secondary,NA,0,yes,no,0,unknown,198,0,0
795,56,blue-collar,married,NA,cellular,0,no,no,0,unknown,82,0,0
796,50,blue-collar,married,primary,cellular,-98,no,yes,0,unknown,550,0,0
797,47,blue-collar,married,secondary,cellular,1303,no,no,0,unknown,68,0,0
798,41,technician,divorced,secondary,cellular,88,no,no,0,unknown,88,0,0
799,60,retired,married,tertiary,cellular,1141,no,no,0,unknown,66,0,0
800,39,technician,married,tertiary,cellular,94,no,no,0,unknown,70,0,0
801,52,technician,married,secondary,NA,2001,yes,no,0,unknown,95,0,0
802,48,admin.,divorced,secondary,cellular,83,yes,no,0,unknown,1101,283.91,0
803,42,management,single,tertiary,cellular,1,no,no,0,unknown,223,0,0
804,51,management,married,tertiary,NA,1212,yes,no,0,unknown,184,0,0
805,50,retired,divorced,tertiary,cellular,-300,no,yes,0,unknown,692,0,0
806,45,student,single,NA,cellular,1527,no,no,0,unknown,132,119.73,0
807,45,technician,married,secondary,NA,546,yes,yes,0,unknown,152,0,0
808,30,technician,single,tertiary,cellular,0,no,no,0,unknown,34,0,0
809,46,admin.,married,secondary,cellular,22,yes,no,0,unknown,414,0,0
810,39,housemaid,married,primary,cellular,-106,yes,yes,0,unknown,1114,0,0
811,28,management,single,tertiary,NA,447,yes,yes,0,unknown,217,0,0
812,30,blue-collar,single,secondary,cellular,229,no,no,0,unknown,24,0,0
813,26,services,single,secondary,telephone,1445,no,no,0,unknown,171,440.21,0
814,28,technician,single,secondary,NA,213,yes,no,0,unknown,267,0,0
815,27,blue-collar,single,secondary,NA,-2,yes,yes,0,unknown,123,0,0
816,36,services,married,secondary,NA,2984,yes,no,0,unknown,394,608.56,0
817,35,technician,single,secondary,cellular,-816,no,no,0,unknown,54,0,0
818,39,blue-collar,married,primary,NA,-388,yes,no,0,unknown,691,0,0
819,30,blue-collar,married,secondary,NA,173,yes,no,0,unknown,217,0,0
820,36,blue-collar,married,secondary,cellular,342,yes,no,0,unknown,305,0,0
821,42,management,married,secondary,NA,0,no,no,0,unknown,234,0,0
822,35,services,married,secondary,NA,-489,yes,no,0,unknown,90,0,0
823,57,management,married,tertiary,telephone,-24,yes,no,0,unknown,14,0,0
824,30,blue-collar,single,NA,cellular,306,yes,no,0,unknown,314,0,0
825,32,blue-collar,married,secondary,cellular,1281,yes,no,0,unknown,222,0,0
826,26,student,single,tertiary,cellular,255,no,no,0,unknown,264,0,0
827,31,blue-collar,single,primary,NA,124,yes,no,0,unknown,411,0,0
828,52,blue-collar,married,primary,cellular,134,yes,no,0,unknown,81,0,0
829,56,services,married,tertiary,cellular,3480,no,no,0,unknown,124,0,0
830,43,admin.,married,secondary,NA,71,no,no,0,unknown,180,0,0
831,35,unemployed,married,tertiary,cellular,1057,yes,no,0,unknown,902,0,0
832,29,management,married,tertiary,cellular,-45,no,no,0,unknown,180,0,0
833,31,admin.,married,secondary,NA,307,yes,no,0,unknown,538,299.39,0
834,55,blue-collar,married,primary,NA,1101,no,no,0,unknown,744,0,0
835,31,admin.,single,tertiary,cellular,5,no,yes,1,low,75,0,0
836,36,technician,single,secondary,cellular,35,no,no,0,unknown,493,0,0
837,31,services,single,NA,cellular,919,yes,no,0,unknown,180,0,0
838,29,services,married,secondary,telephone,376,no,yes,4,low,49,0,0
839,32,management,single,tertiary,NA,1756,yes,no,0,unknown,206,0,0
840,42,services,married,secondary,cellular,199,no,no,0,unknown,217,0,0
841,30,blue-collar,married,secondary,NA,171,yes,no,0,unknown,230,0,0
842,42,management,married,tertiary,cellular,6080,no,no,0,unknown,98,0,0
843,42,entrepreneur,married,secondary,cellular,324,yes,no,0,unknown,528,0,0
844,37,blue-collar,married,secondary,NA,10721,yes,no,0,unknown,394,0,0
845,27,technician,married,secondary,cellular,616,yes,no,0,unknown,263,0,0
846,36,services,married,primary,telephone,413,yes,no,0,unknown,84,0,0
847,47,admin.,married,secondary,NA,869,yes,no,0,unknown,216,0,0
848,24,student,single,NA,cellular,1693,no,no,0,unknown,1094,0,0
849,25,blue-collar,single,secondary,NA,1429,yes,no,0,unknown,187,0,0
850,51,unemployed,married,secondary,cellular,2254,no,no,0,unknown,83,0,0
851,54,technician,married,NA,cellular,240,yes,no,0,unknown,142,318.77,0
852,38,unemployed,married,tertiary,cellular,2812,yes,no,1,high,322,0,0
853,24,blue-collar,single,NA,NA,76,yes,no,0,unknown,345,0,0
854,49,management,married,tertiary,cellular,53,no,no,0,unknown,134,0,0
855,46,admin.,married,secondary,NA,1934,no,yes,0,unknown,240,0,0
856,35,technician,married,tertiary,cellular,1654,no,no,0,unknown,169,0,0
857,29,technician,single,tertiary,NA,2893,yes,no,0,unknown,250,0,0
858,51,technician,single,secondary,cellular,-463,yes,no,3,low,496,0,0
859,38,entrepreneur,single,tertiary,cellular,-274,yes,yes,2,low,103,0,0
860,43,entrepreneur,married,secondary,telephone,128,yes,no,0,unknown,122,0,0
861,42,management,married,tertiary,cellular,1336,yes,yes,0,unknown,65,0,0
862,40,management,single,tertiary,cellular,185,no,no,0,unknown,173,0,0
863,51,admin.,married,secondary,cellular,73,no,no,0,unknown,195,0,0
864,55,management,married,tertiary,telephone,86,no,no,0,unknown,64,0,0
865,35,technician,married,secondary,cellular,0,yes,no,5,high,524,264.87,0
866,23,student,single,secondary,cellular,4126,no,no,0,unknown,96,278.98,0
867,29,management,married,tertiary,cellular,318,yes,no,4,low,1434,0,0
868,34,services,married,secondary,cellular,135,yes,no,0,unknown,109,0,0
869,31,admin.,single,secondary,NA,296,yes,no,0,unknown,161,0,0
870,34,housemaid,married,secondary,cellular,-97,yes,yes,0,unknown,119,0,0
871,35,blue-collar,married,primary,NA,162,yes,no,0,unknown,60,0,0
872,61,management,married,tertiary,cellular,477,yes,no,1,unknown,377,361.92,0
873,42,admin.,divorced,secondary,cellular,490,yes,no,5,unknown,212,0,0
874,45,admin.,married,secondary,cellular,6971,no,no,0,unknown,119,0,0
875,57,blue-collar,married,primary,NA,179,no,no,0,unknown,230,0,0
876,39,admin.,married,secondary,NA,0,no,no,0,unknown,59,0,0
877,30,entrepreneur,married,primary,cellular,2686,yes,no,0,unknown,808,586.05,0
878,23,self-employed,single,tertiary,cellular,780,no,no,3,high,393,418,0
879,32,technician,married,secondary,cellular,4887,yes,no,0,unknown,246,0,0
880,36,management,married,tertiary,cellular,46,no,no,0,unknown,84,0,0
881,31,management,single,tertiary,cellular,98,no,no,0,unknown,69,0,0
882,42,management,single,secondary,cellular,9720,no,no,0,unknown,81,0,0
883,33,technician,divorced,secondary,cellular,22,no,no,0,unknown,71,0,0
884,51,housemaid,divorced,secondary,telephone,330,no,no,0,unknown,218,0,0
885,32,technician,divorced,secondary,telephone,-262,yes,no,0,unknown,85,0,0
886,54,services,divorced,secondary,cellular,2398,yes,no,0,unknown,73,0,0
887,41,management,married,tertiary,NA,2031,yes,no,0,unknown,7,0,0
888,50,admin.,single,secondary,NA,330,yes,no,0,unknown,24,0,0
889,52,technician,married,secondary,NA,2206,yes,no,0,unknown,20,0,0
890,52,admin.,divorced,secondary,cellular,725,yes,no,1,unknown,57,0,0
891,30,technician,single,tertiary,cellular,178,no,no,0,unknown,656,329.95,0
892,57,management,married,tertiary,cellular,224,yes,no,0,unknown,180,0,0
893,53,technician,married,primary,cellular,0,no,no,0,unknown,96,0,0
894,40,admin.,married,secondary,cellular,0,no,no,11,high,496,275.97,0
895,38,technician,single,secondary,cellular,1655,no,no,0,unknown,392,0,0
896,28,blue-collar,married,primary,cellular,-124,yes,no,0,unknown,116,0,0
897,54,admin.,divorced,secondary,cellular,1383,yes,yes,0,unknown,622,0,0
898,35,management,married,tertiary,cellular,0,yes,no,0,unknown,199,0,0
899,35,blue-collar,single,secondary,NA,470,yes,no,0,unknown,123,0,0
900,34,blue-collar,divorced,secondary,telephone,882,no,yes,0,unknown,24,0,0
901,31,technician,single,secondary,cellular,-348,yes,no,0,unknown,410,0,0
902,39,technician,married,tertiary,telephone,794,no,no,0,unknown,182,0,0
903,57,housemaid,married,primary,cellular,1183,no,no,0,unknown,111,0,0
904,68,retired,married,tertiary,cellular,2812,no,no,1,low,279,204.72,0
905,36,technician,single,secondary,cellular,539,yes,no,1,low,398,348.12,0
906,35,admin.,single,tertiary,cellular,5007,yes,no,2,unknown,73,0,0
907,49,self-employed,married,tertiary,cellular,202,yes,no,3,unknown,139,0,0
908,38,technician,married,secondary,NA,634,no,no,0,unknown,211,0,0
909,36,blue-collar,married,primary,NA,0,yes,no,0,unknown,246,0,0
910,34,management,single,tertiary,cellular,1310,no,yes,0,unknown,90,0,0
911,23,services,single,secondary,NA,425,yes,no,0,unknown,768,321.06,0
912,36,unemployed,single,tertiary,cellular,953,yes,no,3,low,102,0,0
913,36,housemaid,married,secondary,telephone,205,yes,no,0,unknown,176,0,0
914,28,services,single,secondary,cellular,113,yes,yes,0,unknown,270,0,0
915,41,management,married,tertiary,cellular,3831,yes,no,0,unknown,243,0,0
916,28,management,single,secondary,cellular,1861,no,no,0,unknown,43,0,0
917,29,management,single,tertiary,cellular,9407,no,no,0,unknown,267,2171.7,0
918,32,services,single,secondary,NA,85,yes,no,0,unknown,834,0,0
919,31,admin.,single,secondary,NA,678,yes,no,0,unknown,117,0,0
920,30,blue-collar,married,secondary,NA,578,yes,yes,0,unknown,48,0,0
921,33,services,single,secondary,cellular,310,yes,no,1,low,54,0,0
922,26,management,single,tertiary,cellular,212,no,no,0,unknown,62,0,0
923,49,blue-collar,married,secondary,NA,2219,yes,no,0,unknown,51,0,0
924,32,self-employed,married,tertiary,cellular,102,no,no,0,unknown,398,0,0
925,28,blue-collar,single,primary,NA,8263,yes,no,0,unknown,267,0,0
926,35,admin.,married,secondary,cellular,786,no,yes,0,unknown,322,0,0
927,28,blue-collar,single,secondary,cellular,455,yes,no,0,unknown,166,0,0
928,32,technician,single,secondary,NA,1698,yes,no,0,unknown,115,0,0
929,48,management,divorced,tertiary,NA,0,no,no,0,unknown,26,0,0
930,38,services,married,secondary,telephone,369,yes,no,0,unknown,224,0,0
931,29,blue-collar,single,secondary,cellular,9,yes,no,0,unknown,262,0,0
932,42,blue-collar,married,primary,NA,3,no,no,0,unknown,45,0,0
933,52,technician,divorced,secondary,cellular,0,no,no,0,unknown,39,0,0
934,35,management,married,tertiary,NA,358,no,no,0,unknown,18,0,0
935,34,blue-collar,married,NA,NA,391,yes,yes,0,unknown,34,0,0
936,31,technician,married,tertiary,cellular,3192,yes,no,2,low,179,0,0
937,28,admin.,single,secondary,cellular,89,yes,yes,0,unknown,172,0,0
938,52,blue-collar,married,primary,cellular,796,no,no,0,unknown,150,0,0
939,58,blue-collar,married,secondary,cellular,221,yes,no,2,low,115,0,0
940,54,management,married,tertiary,cellular,184,no,no,0,unknown,13,0,0
941,29,management,single,tertiary,telephone,572,yes,no,0,unknown,319,377.26,0
942,35,blue-collar,divorced,primary,NA,0,no,no,0,unknown,55,0,0
943,42,blue-collar,married,primary,cellular,205,yes,no,0,unknown,582,0,0
944,60,retired,married,secondary,cellular,2722,no,no,0,unknown,506,194.74,0
945,27,technician,single,tertiary,cellular,15161,no,no,1,high,74,3266.54,0
946,53,services,married,primary,cellular,2618,yes,no,2,low,185,0,0
947,32,management,single,tertiary,cellular,522,no,no,0,unknown,576,378.74,0
948,44,blue-collar,divorced,secondary,cellular,-1,no,yes,0,unknown,194,0,0
949,36,management,married,tertiary,cellular,86,yes,no,3,low,104,0,0
950,54,entrepreneur,married,tertiary,cellular,1544,no,yes,3,low,85,0,0
951,40,management,married,tertiary,NA,270,no,no,0,unknown,362,0,0
952,31,blue-collar,married,secondary,NA,1495,yes,yes,0,unknown,159,0,0
953,37,technician,single,tertiary,cellular,3943,no,no,0,unknown,37,0,0
954,32,blue-collar,single,secondary,NA,2285,yes,no,0,unknown,413,0,0
955,37,blue-collar,married,secondary,cellular,949,yes,no,0,unknown,302,0,0
956,41,services,divorced,primary,cellular,308,no,no,0,unknown,73,0,0
957,29,technician,single,secondary,NA,738,no,no,0,unknown,29,0,0
958,54,services,married,NA,NA,386,no,yes,0,unknown,838,179.73,0
959,42,admin.,single,NA,NA,22,no,no,0,unknown,246,0,0
960,30,management,single,tertiary,cellular,409,yes,no,0,unknown,120,0,0
961,30,management,single,tertiary,NA,162,yes,no,0,unknown,186,0,0
962,24,management,single,tertiary,cellular,1506,no,no,4,high,239,598.85,0
963,55,unemployed,divorced,primary,telephone,-53,no,no,3,unknown,225,0,0
964,48,management,married,tertiary,cellular,308,yes,no,0,unknown,125,0,0
965,43,blue-collar,married,secondary,NA,-141,yes,yes,0,unknown,128,0,0
966,27,blue-collar,single,primary,NA,1128,yes,no,0,unknown,88,0,0
967,56,technician,married,secondary,cellular,0,yes,no,0,unknown,249,0,0
968,53,blue-collar,married,secondary,cellular,143,yes,no,0,unknown,122,0,0
969,32,services,married,secondary,cellular,3181,yes,no,7,low,118,0,0
970,31,student,single,tertiary,cellular,25,yes,no,2,low,85,0,0
971,33,blue-collar,single,secondary,NA,-416,yes,no,0,unknown,767,300.59,0
972,29,admin.,single,secondary,cellular,266,yes,no,0,unknown,540,308.71,0
973,41,management,married,tertiary,cellular,5561,no,no,0,unknown,649,1401.26,0
974,43,blue-collar,married,secondary,cellular,171,yes,no,1,low,96,0,0
975,38,blue-collar,married,secondary,NA,1403,no,no,0,unknown,146,0,0
976,41,management,married,secondary,cellular,456,yes,no,0,unknown,734,356.16,0
977,33,technician,married,tertiary,cellular,326,yes,no,0,unknown,238,0,0
978,29,admin.,married,secondary,cellular,1,yes,no,0,unknown,56,0,0
979,30,admin.,single,tertiary,NA,253,yes,no,0,unknown,146,0,0
980,38,technician,single,secondary,cellular,46,no,no,0,unknown,90,0,0
981,30,management,single,tertiary,cellular,717,yes,no,0,unknown,130,0,0
982,20,student,single,secondary,cellular,215,no,no,1,unknown,228,47.46,0
983,32,admin.,married,secondary,cellular,923,yes,no,0,unknown,819,0,0
984,52,technician,married,secondary,cellular,386,no,no,0,unknown,438,315.72,0
985,43,management,married,tertiary,NA,149,yes,no,0,unknown,662,308.04,0
986,57,management,married,tertiary,telephone,2770,no,yes,0,unknown,158,0,0
987,35,self-employed,single,tertiary,cellular,670,no,yes,0,unknown,44,0,0
988,47,management,divorced,tertiary,NA,107,no,no,0,unknown,246,0,0
989,33,management,single,tertiary,cellular,0,no,no,0,unknown,236,0,0
990,32,management,married,tertiary,cellular,1232,no,no,0,unknown,97,0,0
991,51,services,married,secondary,cellular,867,yes,no,0,unknown,422,0,0
992,28,technician,single,NA,cellular,0,yes,no,1,low,96,256.54,0
993,48,management,married,tertiary,cellular,0,no,yes,0,unknown,18,0,0
994,54,management,married,secondary,telephone,2203,yes,no,0,unknown,151,0,0
995,66,unemployed,single,primary,telephone,1323,no,no,0,unknown,207,0,0
996,45,technician,single,secondary,NA,52,no,yes,0,unknown,79,0,0
997,34,self-employed,single,tertiary,cellular,1272,yes,no,0,unknown,202,0,0
998,50,blue-collar,married,secondary,NA,1604,yes,no,0,unknown,267,0,0
999,41,blue-collar,married,secondary,NA,-204,yes,no,0,unknown,50,0,0
1000,39,management,married,secondary,telephone,315,yes,no,0,unknown,141,0,0
1001,33,blue-collar,married,secondary,cellular,23,yes,no,0,unknown,173,0,0
1002,29,admin.,single,secondary,cellular,305,yes,no,0,unknown,138,0,0
1003,31,admin.,married,secondary,cellular,3540,yes,no,0,unknown,441,0,0
1004,36,self-employed,single,tertiary,cellular,351,no,no,1,low,78,0,0
1005,38,technician,single,tertiary,cellular,876,yes,no,4,low,5,0,0
1006,48,management,divorced,tertiary,cellular,17964,yes,no,3,unknown,208,3892.98,0
1007,30,management,single,tertiary,cellular,201,yes,no,0,unknown,325,347.4,0
1008,55,management,married,secondary,cellular,11655,no,no,0,unknown,114,0,0
1009,31,management,married,tertiary,cellular,325,yes,no,0,unknown,1139,359.25,0
1010,36,technician,married,secondary,NA,146,yes,yes,0,unknown,284,0,0
1011,51,management,divorced,secondary,NA,2843,yes,no,0,unknown,97,0,0
1012,48,management,married,tertiary,cellular,567,no,no,0,unknown,20,0,0
1013,28,management,married,tertiary,NA,395,no,no,0,unknown,178,0,0
1014,44,management,married,tertiary,telephone,236,yes,yes,0,unknown,199,0,0
1015,41,admin.,single,secondary,NA,2015,yes,no,0,unknown,480,0,0
1016,36,entrepreneur,married,secondary,cellular,660,yes,yes,0,unknown,430,0,0
1017,44,blue-collar,married,primary,NA,195,yes,no,0,unknown,541,0,0
1018,51,admin.,married,secondary,cellular,-287,yes,no,0,unknown,814,0,0
1019,32,blue-collar,single,secondary,cellular,118,yes,no,1,high,216,0,0
1020,55,unemployed,married,secondary,cellular,12,no,no,0,unknown,167,0,0
1021,44,technician,married,secondary,cellular,-393,no,no,0,unknown,45,0,0
1022,45,admin.,married,secondary,cellular,3493,yes,no,0,unknown,498,0,0
1023,41,admin.,married,tertiary,telephone,1,yes,no,3,low,327,271.09,0
1024,54,blue-collar,divorced,primary,NA,8180,no,no,0,unknown,312,0,0
1025,38,management,married,tertiary,cellular,2278,yes,yes,0,unknown,244,0,0
1026,44,entrepreneur,single,tertiary,cellular,1136,yes,yes,7,unknown,345,0,0
1027,43,blue-collar,married,secondary,cellular,2160,no,no,1,high,261,533.67,0
1028,52,blue-collar,divorced,primary,NA,-191,yes,no,0,unknown,755,257.77,0
1029,56,management,married,tertiary,cellular,247,no,no,0,unknown,44,0,0
1030,29,management,single,tertiary,NA,0,yes,no,0,unknown,363,0,0
1031,26,student,single,tertiary,cellular,2,no,no,0,unknown,120,0,0
1032,35,services,married,secondary,NA,193,no,yes,0,unknown,50,0,0
1033,50,technician,married,primary,NA,883,yes,no,0,unknown,170,0,0
1034,33,management,single,secondary,cellular,8004,no,no,0,unknown,414,0,0
1035,32,blue-collar,married,primary,cellular,1644,no,no,5,unknown,492,465.35,0
1036,32,admin.,single,secondary,cellular,471,no,yes,0,unknown,243,177.44,0
1037,35,management,married,tertiary,cellular,641,yes,no,0,unknown,41,0,0
1038,38,blue-collar,single,primary,NA,350,yes,no,0,unknown,35,0,0
1039,35,management,married,tertiary,cellular,648,no,no,0,unknown,674,0,0
1040,76,retired,married,NA,cellular,8919,no,no,0,unknown,231,0,0
1041,53,services,married,secondary,NA,10749,yes,no,0,unknown,221,0,0
1042,50,technician,married,tertiary,cellular,2611,no,no,2,high,177,0,0
1043,37,management,single,tertiary,NA,8828,no,no,0,unknown,1010,2011.15,0
1044,54,management,divorced,primary,NA,0,no,no,0,unknown,472,0,0
1045,36,admin.,married,secondary,NA,75,yes,no,0,unknown,52,0,0
1046,45,technician,married,secondary,cellular,366,no,yes,12,low,235,0,0
1047,35,entrepreneur,married,tertiary,cellular,2723,yes,yes,0,unknown,275,0,0
1048,54,services,married,primary,cellular,8,yes,no,0,unknown,143,0,0
1049,42,technician,married,secondary,cellular,3501,no,no,0,unknown,23,0,0
1050,33,entrepreneur,single,tertiary,cellular,138,no,no,0,unknown,141,0,0
1051,57,technician,married,secondary,NA,0,no,no,0,unknown,44,0,0
1052,30,management,married,tertiary,cellular,0,no,no,0,unknown,142,0,0
1053,32,technician,single,secondary,cellular,2421,yes,no,0,unknown,14,0,0
